TANGGAL,WAKTU,KEGIATAN PAM,Lokasi,Nama Pemohon,Unit Bantuan,,
8/23/2014,19:00-24:00+0700,Antapani Culinary Night,Jl.Purwakarta Raya,Kecamatan Antapani,1,,
8/23/2014,19:00-24:00+0700,Ujungberung Culinary Night,Alun-alun Ujungberung,Kecamatan Ujungberung,1,,
8/23/2014,19:00-24:00+0700,Rancasari Culinary Night,Jl. Cipamokolan,Kecamatan Rancasari,1,,
8/23/2014,08:00-10:00+0700,Upacara Pembukaan Pembinaan Pembina Pramuka Penegak Berkualitas Se-Kota Bandung,Plaza Balaikota,Pramuka Kota Bandung,1,,
8/23/2014,11:00-14:00+0700,Pembinaan Pembina Pramuka Penegak Se-Kota Bandung,KODIM 3 Siliwangi,Pramuka Kota Bandung,1,,
8/23/2014,09:00-12:00+0700,Simulasi Penanggulangan Kebakaran dan Peliputan Media PJ TV,Kantor DPPK Kota Bandung,Padjadjaran Televisi,1,,
8/18/2014,10:00-15:00+0700,Undangan Vicon dan Peragaan Pelatihan Penyekatan Massa,Pintu Tol Pasteur Bandung,Kepolisian Negara RI Daerah Jawa Barat,1,,
8/17/2014,08:00-12:00+0700,Penertiban PKL,Lapangan Gasibu Bandung,SAT POL PP,1,,
8/17/2014,08:30-12:00+0700,Upacara Kemerdekan  HUT RI ,Lapangan Gasibu Bandung,SETDA Provinsi Jawa Barat,1,,
8/17/2014,09:30-15:00+0700,Acara Hiburan Peringatan Hari Kemerdekaan RI,Kecamatan Lengkong,Kecamatan Lengkong,1,,
8/16/2014,19:00-24:00+0700,Arcamanik Culinary Night ,Komplek arcamanik Jl.Perluasan,Panitai Arcamanik Culinary Night,1,,
8/16/2014,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu Bandung,SAT POL PP,1,,
7/31/2014,13,Mobilling ke tempat keramaian dan Daerah Rawan Bencana Kebakaran,Wilayah Kecamatan Coblong,DPPK Kota Bandung,1,KODAM III Siliwangi,
7/30/2014,13,Mobilling ke tempat keramaian dan,Wilayah Kecamatan Astana Anyar,DPPK Kota Bandung,1,,
7/27/2014,08:00-12:00+0700,Penertiban PKL,Lapangan Gasibu Bandung,SAT POL PP,1,8 Unit,
7/27/2014,21,Penyiraman Jalan ,Jalan Dalem Kaum Alun-alun Bandung,SAT POL PP,2,Instruksi Walikota,
7/26/2014,-,Mobilling ke tempat keramaian dan Daerah Rawan Bencana Kebakaran,Wilayah Kecamatan Babakan Ciparay,DPPK Kota Bandung,1,2 Unit,
7/26/2014,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu Bandung,SAT POL PP,1,2 Unit,
7/25/2014,-,Mobilling ke tempat keramaian dan Daerah Rawan Bencana Kebakaran,Wilayah Kecamatan Regol,DPPK Kota Bandung,1,,
7/24/2014,-,Mobilling ke tempat keramaian dan Daerah Rawan Bencana Kebakaran,Wilayah Kecamatan Bojongloa Kidul,DPPK Kota Bandung,1,,
7/21/2014,08:00-11:00+0700,Apel Kesiapan dan Gelar Pasukan Operasi Ketupat Lodaya Thn 2014,Lapangan Gasibu Bandung,Kepolisian RI Daerah Jawa Barat,2,2 Unit,
7/20/2014,08:00-12:00+0700,Penertiban PKL,Lapangan Gasibu Bandung,SAT POL PP,1,2 Unit,
7/19/2014,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu Bandung,SAT POL PP,1,2 Unit,
7/17/2014,13:00-15:00+0700,Penyiraman Gedung PKK Kota Bandung,Gedung PKK Kota Bandung,PKK Kota Bandung,1,,
7/13/2014,08:00-12:00+0700,Penertiban PKL,Lapangan Gasibu Bandung,SAT POL PP,1,,
7/8/2014,09:30-11:30+0700,Pelantikan Siswa SMK Daarut Tauhid,Daarut Tauhid Jl.Geger Kalong,SMK Daarut Tauhid,1,Instruksi Walikota,
6/7/2014,08:00-12:00+0700,Penertiban PKL,Lapangan Gasibu Bandung,SAT POL PP,1,2 Unit,
5/8/2014,07:30-12:00+0700,Pelantikan Anggota Legislatif/DPRD Kota Bandung Tahun 2014,Gedung DPRD Kota Bandung,Sekretariat DPRD Kota Bandung,1,,
5/7/2014,24:00-08:00+0700,Penertiban PKL,Lapangan Gasibu Bandung ,SAT POL PP,1,,
4/27/2014,08:00-12:00+0700,Penertiban PKL,Lapangan Gasibu Bandung ,SAT POL PP,1,,
4/27/2014,15:00-21:00+0700,Bandung Clothing Expo ,Monumen Perjuangan,CV CIPTA KARYA,1,2 Unit,
