"nomor_izin","jenis_izin","nama_perusahaan","alamat_perusahaan","tgl_akhir","longitude","latitude"
"0182/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","KING OF KINGS"""," GANG ANTARIKSA 19","23/12/2018","107.5638295","-6.8900557"
"0184/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT. KARYA ARTHA LESTARI"," BABAKAN CIBEUREUM 30","23/12/2018","107.5678201","-6.907522203"
"0183/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","CV. BEKTI ALBAR"," MARS UTARA  16","23/12/2018","107.6662126","-6.942319899"
"0063/TDP/I/2016/BPPT","Tanda Daftar Perusahaan","CV. DEKA PRATAMA"," KEMBAR TIMUR VIII 11A","11/01/2019","107.6153753","-6.9456133"
"0016/TDP/III/2016/BPPT","Tanda Daftar Perusahaan","PT KARYA MARIEN MUTIARA"," ABDUL HAMID 52","04/03/2019","107.6620077","-6.899999682"
"0127/TDP/I/2016/BPPT","Tanda Daftar Perusahaan","K. G. H 2"," CIHAMPELAS 62","22/01/2019","107.6042872","-6.9019454"
"0020/TDP/II/2016/BPPT","Tanda Daftar Perusahaan","PT. PRIMA GRAHA SENTOSA"," DR. SETIABUDHI 35","02/02/2019","107.6074668","-6.8468496"
"0040/TDP/V/2016/BPPT","Tanda Daftar Perusahaan","PT. LINTAS MANDIRI ARTHAPRIMA"," HAJI WASID 29","09/05/2019","107.6165884","-6.8971514"
"0038/TDP/I/2016/BPPT","Tanda Daftar Perusahaan","PT. REKA PRIMA CONSULTANTS"," SARIWATES INDAH I 36","24/01/2019","107.6554713","-6.9232583"
"0129/TDP/I/2016/BPPT","Tanda Daftar Perusahaan","JAYA KARPET"," H. KURDI I 72","25/01/2019","107.6191228","-6.9174639"
"0056/TDP/XI/2016/BPPT","Tanda Daftar Perusahaan","CV. ELANG PERSADA GEMILANG"," PARAKAN III 1-A","09/11/2019","107.6333685","-6.948991709"
"0130/TDP/I/2016/BPPT","Tanda Daftar Perusahaan","ANUGERAH PEMBANGUNAN"," BUAH BATU 233","25/01/2019","107.6293575","-6.9438716"
"0106/TDP/I/2016/BPPT","Tanda Daftar Perusahaan","PT. WIJAYA PRIMA GRUP"," BKR 112","25/01/2019","107.612759","-6.9377207"
"0105/TDP/I/2016/BPPT","Tanda Daftar Perusahaan","BALE BOOM"," JENDRAL SUDIRMAN 509A - 509B","25/01/2019","107.5878748","-6.920449311"
"0128/TDP/I/2016/BPPT","Tanda Daftar Perusahaan","CV. GLOBALINDO ENGINEERING"," GOLF TIMUR IV 7","24/01/2019","107.6774675","-6.9152087"
"0108/TDP/I/2016/BPPT","Tanda Daftar Perusahaan","CV. SEKAWAN \ STUDIO FAMILY KARAOKE"," PURNAWARMAN 11-15","25/01/2019","107.6191228","-6.9174639"
"0107/TDP/I/2016/BPPT","Tanda Daftar Perusahaan","KALIMAS"," OTO ISKANDARDINATA 517","25/01/2019","-6.931283775","107.6052827"
"0134/TDP/I/2016/BPPT","Tanda Daftar Perusahaan","PT. IDELIE CEMERLANG"," KEMBAR BARAT 29","25/01/2019","107.6093949","-6.9418206"
"0132/TDP/I/2016/BPPT","Tanda Daftar Perusahaan","PT. PERMIKA PRIMA ARTHA"," LASWI 8","25/01/2019","107.6311607","-6.9198389"
"0088/TDP/IV/2016/BPPT","Tanda Daftar Perusahaan","PT. GALIH REREKA MANUNGGAL"," KIARA ASRI III 11","25/04/2019","107.6191228","-6.9174639"
"0059/TDP/III/2016/BPPT","Tanda Daftar Perusahaan","HASIL LAUT"," BELAKANG  PASAR 26","03/03/2019","107.6021313","-6.917210775"
