npsn,nama,bentuk_pendidikan_nama,jenjang_pendidikan_nama,alamat_jalan,rt,rw,nama_dusun,desa_kelurahan_nama,Column,lintang,bujur,kebutuhan_khusus_nama,status_sekolah_nama,status_kepemilikan_nama
20219288,SMKS BPP,SMK,SMA / sederajat,VAN DEVENTER NO.14 BANDUNG,2,3,-,Kebon Pisang,Kec. Sumur Bandung,-6.917,107.6159,Tidak ada,Tidak Aktif,Yayasan
20247287,SMAS BAITURRAHMAN,SMA,SMA / sederajat,JL. PROF. KHM. SYADELI HASAN NO. 44,1,7,-,Pasirjati,Kec. Ujungberung,-6.9086,107.706,Tidak ada,Tidak Aktif,Yayasan
20219244,SMAN 18 BANDUNG,SMA,SMA / sederajat,JL. MADESA SITUGUNTING,2,12,-,Kopo,Kec. Bojong Loa Kaler,-6.9386,107.5853,Tidak ada,Aktif,Pemerintah Pusat
20219277,SMAS YAS BANDUNG,SMA,SMA / sederajat,JL. PHH. HASAN MUSTAPA NO. 115,1,4,,Sukapada,Kec. Cibeunying Kidul,-6.901,107.6472,Tidak ada,Tidak Aktif,Lainnya
20219240,SMAN 13 BANDUNG,SMA,SMA / sederajat,JL. RAYA CIBEUREUM NO 52,5,4,-,Campaka,Kec. Andir,-6.9033,107.5648,Tidak ada,Aktif,Pemerintah Daerah
20258092,SMAS MUTIARA BUNDA,SMA,SMA / sederajat,JL. PADANG GOLF ARCAMANIK,4,1,-,Sukamiskin,Kec. Arcamanik,-6.9071,107.6758,"C1, D",Tidak Aktif,Yayasan
20265547,SMKS WIDYA DIRGANTARA BANDUNG,SMK,SMA / sederajat,JL.BOJONG RAYA 114 BANDUNG,4,5,-,Cibuntu,Kec. Bandung Kulon,-6.9265,107.567,Tidak ada,Tidak Aktif,Yayasan
20219764,SMAS PASUNDAN 4 BANDUNG,SMA,SMA / sederajat,JL.  CIJERAH,2,6,-,Cijerah,Kec. Bandung Kulon,-6.9156,107.5704,Tidak ada,Tidak Aktif,Yayasan
20219736,SMAS KARYA AGUNG,SMA,SMA / sederajat,JL. TERUSAN NILEM BARAT,2,1,-,Pasirluyu,Kec. Regol,-6.9355,107.6208,Tidak ada,Tidak Aktif,Yayasan
20265540,SMKS PASUNDAN 4,SMK,SMA / sederajat,JL CIKUTRA NO. 201,3,3,Cikutra,Neglasari,Kec. Cibeunying Kaler,-6.8955,107.6422,Tidak ada,Tidak Aktif,Yayasan
69895438,SMA Nehru Memorial School,SMA,SMA / sederajat,"Jl. Lembong 40 Bandung, Jawa Barat",4,6,Braga,Braga,Kec. Sumur Bandung,-6.921148,107.628188,Tidak ada,Tidak Aktif,Lainnya
20280589,SLB B TUT WURI HANDAYANI,Keaksaraan,SMA / sederajat,Jl Perumnas Cijerah 1 Blok V No.45,5,5,,Cijerah,Kec. Bandung Kulon,-6.9141,107.5798,"C1, D",Tidak Aktif,Yayasan
20219271,SMAN 1 BANDUNG,SMA,SMA / sederajat,H. JUANDA NO. 93,2,4,-,Lebak Siliwangi,Kec. Coblong,-6.8955,107.6128,Tidak ada,Aktif,Pemerintah Pusat
