Nama Sekolah,NPSN,Alamat,Kecamatan,Tingkat 1,Tingkat 2,Tingkat 3,Tingkat 4,Tingkat 5,Tingkat 6,Jumlah
SD NEGERI SINDANGSARI 1,20245775,Jl. Sindangsari 1 No. 1,Kec. Antapani,24,22,21,19,20,15,252
SD NEGERI SINDANGSARI 3,20245778,Jl. Parakan Saat,Kec. Antapani,13,19,22,22,17,24,216
SD NEGERI SINDANGSARI 5,20245779,Jl. Parakan Saat,Kec. Antapani,13,14,13,11,16,9,174
SD NEGERI SIRNAMANAH,20244920,Jl. Sirnamanah No. 4 Bandung,Kec. Sukajadi,30,37,32,28,36,21,362
SD NEGERI SITUGUNTING 1,20245089,Jl. H. Zakaria No. 56,Kec. Babakan Ciparay,16,17,25,25,17,24,225
SD NEGERI SITUGUNTING 2,20245086,Jl. H. Zakaria No. 56,Kec. Babakan Ciparay,16,17,16,21,23,14,221
SD NEGERI SITUGUNTING 3,20245087,Jl. H. Zakaria No. 56,Kec. Babakan Ciparay,13,16,17,17,20,26,234
SD NEGERI SITUGUNTING 4,20245088,Jl. H. Zakaria No. 56,Kec. Babakan Ciparay,38,7,16,21,17,19,254
SD NEGERI SOKA 34-1,20245781,Jl. Soka No. 34,Kec. Sumur Bandung,15,13,13,25,19,25,214
SD NEGERI SOKA 34-2,20245782,Jl. Soka No. 34,Kec. Sumur Bandung,13,14,8,26,19,33,214
SD NEGERI SOKA 34-3,20245783,Jl. Soka No. 34,Kec. Sumur Bandung,17,11,16,20,18,24,198
SD NEGERI SOKA 34-4,20245784,Jl. Soka No. 34,Kec. Sumur Bandung,15,17,15,13,20,27,195
SD NEGERI SOKA 34-5,20245785,Jl. Soka No. 34,Kec. Sumur Bandung,14,16,10,16,17,18,178
SD NEGERI SOKA 34-6,20245786,Jl. Soka No. 34,Kec. Sumur Bandung,14,11,16,18,18,19,195
SD NEGERI SONDARIAH,20245780,Jl. Rancanumpang,Kec. Gedebage,16,14,17,21,24,13,199
SD NEGERI SUKA ASIH,20245794,Suka Asih Bandung,Kec. Mandalajati,39,46,45,41,59,52,515
SD NEGERI SUKAGALIH 1,20245266,Jl. Sukagalih No. 69,Kec. Sukajadi,34,32,28,23,25,34,335
SD NEGERI SUKAGALIH 2,20245267,Jl. Sukagalih No. 108,Kec. Sukajadi,31,27,22,36,27,29,325
SD NEGERI SUKAGALIH 3,20245268,Jl. Sukagalih No. 108,Kec. Sukajadi,21,15,15,22,19,24,217
SD NEGERI SUKAGALIH 5,20245270,Jl. Sukagalih No. 108,Kec. Sukajadi,18,13,22,14,19,23,233
SD NEGERI SUKAGALIH 6,20245271,Jl. Sukagalih No. 69,Kec. Sukajadi,21,21,26,19,22,37,309
SD NEGERI SUKAGALIH 7,20244922,Jl. Sukagalih Komplek Polri,Kec. Sukajadi,24,27,25,12,23,21,243
SD NEGERI SUKAGALIH 8,20245272,Jl. Sukagalih No. 108,Kec. Sukajadi,13,20,22,20,18,22,232
SD NEGERI SUKAGALIH 9,20245273,Jl. Sukagalih No. 108,Kec. Sukajadi,18,12,11,23,13,9,193
SD NEGERI SUKAJADI 1,20244923,Jl. Sirnamanah No. 4 Bandung,Kec. Sukajadi,27,38,24,29,32,36,342
SD NEGERI SUKAJADI 3,20244925,Jl. Sukajadi No. 138,Kec. Sukajadi,22,18,18,17,28,23,269
SD NEGERI SUKAJADI 8,20244926,Jl. Karang Tineung No. 5 A,Kec. Sukajadi,19,25,30,21,20,22,295
SD NEGERI SUKAJADI 9,20245993,Jl. Karang Tineung No. 5 A,Kec. Sukajadi,17,27,16,22,23,28,281
SD NEGERI SUKAKARYA,20245795,"Jl. Rusbandhi, S.h.",Kec. Arcamanik,48,61,50,35,45,43,540
SD NEGERI SUKALAKSANA 1,20245797,Jl. Sukakarya No. 109 Rt 06 Rw 12 Cicaheum,Kec. Kiaracondong,52,43,48,40,46,57,572
SD NEGERI SUKALAKSANA 2,20245798,Jl. Sukakarya No. 109 Rt 06 Rw 12,Kec. Kiaracondong,47,46,28,20,47,44,444
SD NEGERI SUKALUYU 1,20245280,Jl. Rereng Adumanis No. 2 A,Kec. Cibeunying Kaler,13,21,15,12,17,22,218
SD NEGERI SUKALUYU 2,20245281,Jl. Rereng Adumanis No. 2 A,Kec. Cibeunying Kaler,21,17,13,21,16,19,222
SD NEGERI SUKALUYU 3,20245282,Jl. Rereng Adumanis No. 2 A,Kec. Cibeunying Kaler,17,23,16,17,14,17,216
SD NEGERI SUKALUYU 4,20245283,Jl. Rereng Adumanis No. 2 A,Kec. Cibeunying Kaler,24,24,14,23,23,21,229
SD NEGERI SUKAMISKIN,20245804,Jl. Terusan Pesantren No 86,Kec. Arcamanik,34,29,32,32,40,31,408
SD NEGERI SUKAPURA 01,20258124,Jl. Manglayang I No. 1,Kec. Cibiru,38,42,26,13,37,34,385
SD NEGERI SUKAPURA 02,20245788,Jl. Manglayang I No. I,Kec. Cibiru,39,40,19,42,21,37,368
SD NEGERI SUKAPURA 1,20245805,Jl. Terusan PSM No.1,Kec. Kiaracondong,16,19,16,19,19,19,226
SD NEGERI SUKAPURA 2,20245806,Jl. Terusan Psm No. 1,Kec. Kiaracondong,21,15,10,18,17,17,230
SD NEGERI SUKAPURA 3,20245807,Jl. Terusan Psm No. 1,Kec. Kiaracondong,20,20,13,9,14,16,183
SD NEGERI SUKAPURA 4,20245808,Jl. Terusan Psm No. 1,Kec. Kiaracondong,18,11,21,14,22,24,203
SD NEGERI SUKAPURA 5,20245809,Jl. Terusan Psm No. 1,Kec. Kiaracondong,17,13,14,17,14,25,174
SD NEGERI SUKARAJA,20245810,Jl.Terusan Pasteur no 38,Kec. Cicendo,16,8,8,8,18,18,130
SD NEGERI SUKARASA 1,20244928,Jl. Gegerkalong Hilir No. 82,Kec. Sukasari,27,24,27,19,19,23,299
SD NEGERI SUKARASA 3,20244929,Jl. Pak Gatot V Kpad,Kec. Sukasari,42,38,43,41,30,30,430
SD NEGERI SUKARASA 4,20245996,Jl. Pak Gatot V Kpad,Kec. Sukasari,19,20,21,21,33,36,287
SD NEGERI SUKARELA 1,20245790,Jl. Mekarmulya No. 40,Kec. Panyileukan,19,20,17,18,15,28,219
SD NEGERI SUKARELA 2,20245791,Jl. Mekarmulya No. 40,Kec. Panyileukan,13,16,24,20,22,29,221
SD NEGERI SUKARELA 3,20245792,Jl. Panyawangan No. 7,Kec. Panyileukan,28,34,27,25,32,45,419
SD NEGERI SUKARELA 4,20245793,Jl. Panyawangan No. 7,Kec. Panyileukan,28,29,28,16,22,17,314
SD NEGERI SUKASARI 1,20245274,Jl. Sukakarya No. 19,Kec. Sukajadi,18,19,22,26,25,31,300
SD NEGERI SUKASARI 3,20245276,Jl. Dr. Djundjunan No. 79,Kec. Sukajadi,9,18,9,15,10,12,122
SD NEGERI SUKASENANG,20245284,Jl. P.H.H. Mustofa No. 46,Kec. Cibeunying Kidul,34,42,36,22,37,57,457
SD NEGERI SUKAWARNA 1,20245998,Jl. Sariwangi No. 1,Kec. Sukajadi,12,12,14,16,17,16,176
SD NEGERI SUKAWARNA 2,20245277,Jl. Sariwangi No. 1,Kec. Sukajadi,14,11,15,11,15,11,142
SD NEGERI SUKAWARNA 3,20245278,Jl. Sariwangi No. 1,Kec. Sukajadi,13,19,13,16,13,11,173
SD NEGERI SUKAWARNA 5,20245279,Jl. Sariwangi No. 1,Kec. Sukajadi,14,13,14,22,13,17,172
SD NEGERI SUMBERSARI INDAH 1,20245090,Jl. Sumber Makmur No. 1,Kec. Babakan Ciparay,21,17,12,15,20,17,203
SD NEGERI SUMBERSARI INDAH 2,20245091,Jl. Sumber Makmur No. 1,Kec. Babakan Ciparay,15,12,16,19,20,16,217
SD NEGERI SUMBERSARI INDAH 3,20245092,Jl. Sumber Makmur No. 1,Kec. Babakan Ciparay,15,21,17,16,21,21,216
SD NEGERI SUMBERSARI INDAH 4,20245093,Jl. Sumber Makmur No. 1,Kec. Babakan Ciparay,23,22,26,19,23,34,253
SD NEGERI SURYALAYA,20245094,Jl. Surya Indah No. 81,Kec. Lengkong,26,27,22,21,22,25,269
SD NEGERI TANJAKAN,20245816,Jl. Jatihandap No. 64,Kec. Mandalajati,41,35,41,39,47,39,439
SD NEGERI TANJUNG 1,20244990,Jl. Babakan Tarogong No. 193,Kec. Bojong Loa Kaler,21,23,14,20,25,18,232
SD NEGERI TANJUNG 2,20244991,Jl. Babakan Tarogong No. 193,Kec. Bojong Loa Kaler,14,17,24,24,21,18,232
SD NEGERI TANJUNG 3,20244992,Jl. Babakan Tarogong No. 193,Kec. Bojong Loa Kaler,20,21,26,23,22,21,233
SD NEGERI TARUNA KARYA 1,20245811,Jl. Cilengkrang II No. 80,Kec. Cibiru,17,20,17,20,18,18,216
SD NEGERI TARUNA KARYA 2,20245812,Jl. Galumpit No. 2,Kec. Cibiru,16,17,27,19,15,23,217
SD NEGERI TARUNA KARYA 3,20245813,Jl. Galumpit No. 2,Kec. Cibiru,14,18,16,21,28,17,231
SD NEGERI TARUNA KARYA 4,20245814,Jl. Cilengkrang II No. 80,Kec. Cibiru,13,18,15,20,18,25,209
SD NEGERI TARUNA KARYA 5,20245815,Jl. Galumpit No. 2,Kec. Cibiru,12,22,18,17,26,25,216
SD NEGERI TEGALLEGA 2,20245095,Jl. Pelindung Hewan No. 43,Kec. Astananyar,15,28,38,18,18,21,316
SD NEGERI TEGALLEGA 4,20245096,Jl. Pelindung Hewan No. 43,Kec. Astananyar,36,13,18,19,29,18,234
SD NEGERI TIKUKUR 1,20245817,Jl. Titimplik No. 1,Kec. Coblong,18,22,17,21,16,21,222
SD NEGERI TIKUKUR 2,20245818,Jl. Titimplik No. 1,Kec. Coblong,18,23,14,19,17,17,220
SD NEGERI TIKUKUR 3,20245819,Jl. Titimplik No. 1,Kec. Coblong,18,22,18,18,19,20,223
SD NEGERI TIKUKUR 4,20245820,Jl. Titimplik No. 1,Kec. Coblong,19,19,18,18,21,16,226
SD NEGERI TIKUKUR 5,20245821,Jl. Titimplik No. 1,Kec. Coblong,19,22,11,16,17,24,220
SD NEGERI TILIL 1,20245822,Jl. Puyuh No. 2,Kec. Coblong,18,29,16,16,27,19,243
SD NEGERI TILIL 2,20245823,Jl. Puyuh No. 2,Kec. Coblong,16,8,16,18,20,21,184
SD NEGERI TILIL 3,20245824,Jl. Puyuh No. 2,Kec. Coblong,13,17,20,19,21,22,220
SD NEGERI TILIL 4,20245825,Jl. Puyuh No. 2,Kec. Coblong,17,20,15,17,20,15,210
SD NEGERI TUNAS HARAPAN 01,20244933,Jl. Cijerah No. 116,Kec. Bandung Kulon,46,57,65,52,48,29,576
SD NEGERI TUNAS HARAPAN 02,20244934,Jl. Cijerah No. 116,Kec. Bandung Kulon, -   , -   , -   , -   , -   ,27,54
SD NEGERI TURANGGA 1,20245097,Jl. Turangga No. 27,Kec. Lengkong,24,16,22,22,24,21,254
SD NEGERI TURANGGA 2,20245098,Jl. Salak No. 3,Kec. Lengkong,18,13,22,27,20,22,265
SD NEGERI TURANGGA 4,20245099,Jl. Salak No. 3,Kec. Lengkong,19,29,25,19,18,18,261
SD NEGERI UJUNGBERUNG 01,20245826,Jl. Cigending No. 03,Kec. Ujungberung,35,49,41,57,41,58,553
SD NEGERI UJUNGBERUNG 02,20245828,Jl. Cigending No. 03,Kec. Ujungberung,30,54,38,45,50,46,530
SD NEGERI UJUNGBERUNG 04,20245830,Jl. Cigending No. 03,Kec. Ujungberung,34,43,58,50,50,50,540
SD NEGERI UJUNGBERUNG 05,20245831,Jl. Cigending No. 03,Kec. Ujungberung,19,20,27,28,27,21,275
SD NEGERI UJUNGBERUNG 09,20245835,Jl. Cigending No. 03,Kec. Ujungberung,35,21,17,25,24,41,307
SD NEGERI UJUNGBERUNG 3,20245829,Jln. Cigending No. 3,Kec. Ujungberung,33,35,36,54,48,44,497
SD NEGERI WARUNG JAMBU 1,20245836,Jl. Warung Jambu No. 28,Kec. Kiaracondong,20,32,24,17,24,20,268
SD NEGERI WARUNG JAMBU 2,20245837,Jl. Warung Jambu No. 28,Kec. Kiaracondong,12,15,10,14,13,13,178
SD NEGERI WARUNG MUNCANG,20244935,Jl. Holis Kpad,Kec. Bandung Kulon,21,36,29,43,25,32,405
SD Nehru Memorial School,69895440,Jl. Lembong No. 40,Kec. Sumur Bandung, -   , -   , -   , -   , -   , -   , -   
SD NUGRAHA,20219821,Jl. Pln Dalam No. 4,Kec. Regol,39,48,41,44,42,49,529
SD PANDU,20219820,Jl. Pandu No. 6,Kec. Cicendo,31,31,36,35,22,36,335
SD PANGKALAN,20219819,Jl. Cibolerang No. 2,Kec. Babakan Ciparay,12,9,20,6,6,12,108
SD PARDOMUAN,20219818,Jl. Lombok No. 7,Kec. Sumur Bandung,15,19,13,8,15,12,176
SD PASUNDAN 2,20219816,Jl. Babakan Ciparay No. 112/194 A,Kec. Babakan Ciparay,33,43,27,37,28,24,361
SD PASUNDAN 3,20219815,Jl. Babakan Ciparay No.112/194 A,Kec. Babakan Ciparay,29,27,32,30,30,22,357
SD PASUNDAN I,20219817,Jl. Sumatera No. 41,Kec. Sumur Bandung,1, -   ,1,2,4,1,22
SD PELITA,20219814,Jl. Citamiang No. 43,Kec. Cibeunying Kidul,16,15,17,20,15,14,189
SD PELITA BANGSA,20253917,Jl. Soekarno Hatta No. 391,Kec. Astananyar,16,10,14,8,12,9,132
SD PELITA FAJAR,60728783,Jl. Jendral Sudirman 467,Kec. Bojong Loa Kaler,22,22,11,19,25,7,195
SD PELITA INDONESIA,20246467,Jl. Cilaki No. 53,Kec. Bandung Wetan,3,2,6,5,1,3,33
SD PELITA JASA,20219813,Jl. Komud. Supadio Gg. Hanura No.13,Kec. Cicendo,18,9,21,14,20,17,190
SD PELITA NUSANTARA,20247253,Jl. Suka Asih 6 A Setiabudhi,Kec. Sukasari,16,17,10,11,15,22,195
SD PERTIWI,20219823,Jl. Kebon Bibit No. 16,Kec. Bandung Wetan,29,34,31,33,30,47,406
SD PLUS AL FATWA,20246728,Jl. Pln Cigereleng No. 21,Kec. Regol,28,44,35,36,33,18,365
SD PLUS AL GHIFARI,20219824,Jl. Cisaranten Kulon No. 140,Kec. Arcamanik,98,87,82,60,62,79,834
SD PLUS BAITURRAHMAN,20247254,Jl. Prof. KH. M. Syadeli Hasan No. 44 Nagrog II,Kec. Ujungberung,78,57,21,21,27,23,408
SD PRASISTHA,20219833,Jl. Andir Ri Winata No. 15,Kec. Andir,24,17,25,24,15,22,236
SD PRIANGAN,20219832,Jl. Baros No.1,Kec. Bandung Wetan,21,18,25,19,28,43,362
SD PRIBADI BANDUNG,20219831,JL. PHH. MUSTOFA NO 41 RT 02 RW 06,Kec. Cibeunying Kaler,10,10,11,7,10,6,111
SD PROF. DR. MOESTOPO,20219830,Jl. Tubagus Ismail III No. 3,Kec. Coblong,5,13,8,8,12,6,101
SD RAJAWALI,20219829,Jl. Andir No 117a/78 Bandung,Kec. Andir,5,2,12,7,10,5,99
SD RANCAKASUMBA,20219828,Jl. Sumbersari No. 104,Kec. Arcamanik,26,23,20,22,24,22,258
SD REHOBOTH,20219841,Jl. Rd. Dewi Sartika No. 36-38,Kec. Regol,14,7,19,16,21,13,152
SD SAINS AL BIRUNI,20219827,Jl. Panyileukan No. 11,Kec. Panyileukan,61,58,43,49,49,46,569
SD SALMAN AL FARISI,20253819,Jl. Tubagus Ismail VIII,Kec. Coblong,64,58,66,56,60,72,677
SD SALUYU,20219826,Kp. Situgunting No. 309/194 A,Kec. Babakan Ciparay,14,24,31,32,23,26,288
SD SANTA ANGELA,20219825,Jl. Merdeka No. 24,Kec. Sumur Bandung,43,34,38,44,38,54,609
SD SANTA URSULA,20219812,Jl. Bengawan No.2,Kec. Bandung Wetan,45,58,55,43,55,47,559
SD SANTO AGUSTINUS,20219894,Jl. Ahmad Yani No 273,Kec. Bandung Wetan,26,33,37,17,27,20,302
SD SANTO ALOYSIUS BANDUNG KIDUL,20267930,Jl. Batununggal Indah II/30,Kec. Bandung Kidul,30,24,24,22,26,26,309
SD SANTO ALOYSIUS SUKASARI,20247251,Jl. Sukajadi 223,Kec. Sukasari,13,14,9,17,13,15,149
SD SANTO ALOYSIUS TR,20219893,Jl. Trunojoyo No. 3,Kec. Bandung Wetan,30,33,23,26,25,24,316
SD SANTO YUSUP,20219892,Jl. Jawa No. 2 - 4,Kec. Sumur Bandung,31,30,32,22,27,21,301
SD SANTO YUSUP I,20253862,Jl. Cikutra No 5,Kec. Cibeunying Kidul,57,55,53,54,59,55,606
SD SEJATI,20219891,Jl. Cikutra Sukasari II No.20,Kec. Cibeunying Kaler,8,11,10,16,8,11,147
SD SEMI PALAR,69883610,Jl. SUKAMULYA NO.77-79,Kec. Sukajadi,11,12,12,7,6,5,87
SD STAMFORD BANDUNG,69883256,JL. KOMPLEKS ALLEGRO ALTURA RT 05 RW 08,Kec. Coblong, -   , -   , -   , -   , -   , -   , -   
SD SURUUR,20219887,Jl. Hegarmanah Tengah No. 1a,Kec. Cidadap,25,28,9,15,17,23,226
SD SURYANI DWI MARGA,20219889,Jl. Terusan Suryani No.16/a - 191/c,Kec. Bandung Kulon,22,20,35,30,24,24,293
SD SWADAYA 1,20219886,Jl. Pagarsih No. 181 E,Kec. Bojong Loa Kaler,30,15,29,29,30,19,310
SD TARUNA BAKTI,20219885,Jl. Ll. Re. Martadinata No. 52,Kec. Bandung Wetan,66,43,57,49,52,61,645
SD TERPADU KRIDA NUSANTARA,20246469,Jl. Desa Cipadung,Kec. Cibiru,28,40,21,20,24,27,301
SD TIARA BUNDA,20268416,Jl. Batununggal Indah I 74-76,Kec. Bandung Kidul,9,9,9,7,8,14,97
SD TRIKARSA,20219884,Jl. Samsi No. 123/125 C,Kec. Batununggal,17,11,16,16,12,11,165
SD TULUS KARTIKA,20219895,Jl. Rancabolang No. 140,Kec. Buah Batu,26,26,23,21,31,18,290
SD TUNAS UNGGUL,20219896,Jl. Pasir Impun No. 94,Kec. Mandalajati,37,39,40,30,29,27,399
SD UCHUWWATUL ISLAM,20219897,Jl. Pasirkaliki Gg. H. Ento,Kec. Sukajadi,13,13,12,6,8,12,105
SD WINDU PUTRA,20219907,Jl. Babakan Cibereum No.142,Kec. Andir,16,19,15,9,9,6,150
SD YAKESWA,20219906,Jl. Dr. Hatta 54/29 B,Kec. Bandung Wetan,14,20,17,23,18,29,227
SD YAMI,20219905,Jl.karasak Baru No.16 Bandung,Kec. Astananyar,24,16,25,28,28,26,281
SD YAYASAN ATIKAN SUNDA,20219904,Jl. Phh Mustapa N0. 115,Kec. Cibeunying Kidul,24,16,13,11,8,9,154
SD YAYASAN BERIBU,20247256,Jl. B K R No. 1,Kec. Lengkong,13,15,7,8,12,16,113
SD YKPPK,20253349,Jl. Cihampelas Blk No. 14,Kec. Bandung Wetan,18,18,27,23,12,23,213
SD YOS SUDARSO,20246460,Jl. Mohamad Toha No. 19,Kec. Regol,22,37,32,38,28,40,381
SD YPI,20253257,Jl. Nuhamad No. 17 Bandung,Kec. Cicendo,7,10,10,8,9,6,92
SD YPU,20219902,Jl. Cukang Jati No. 5,Kec. Batununggal,26,14,11,24,14,27,203
SD YWKA,20219901,Jl. Rajawali I No. 5,Kec. Andir,64,64,62,58,60,82,752
SDIT AL FITRAH,20269138,Jl. Merkuri Timur No. 1,Kec. Rancasari,42,46,27,24,31,27,408
SDK BPK PENABUR BANDA,20268647,Jl. Bahureksa No. 26,Kec. Bandung Wetan,8,11,10,11,6,15,103
SDK BPPK,20219858,Jl Pajajaran No 91 Bandung,Kec. Cicendo,14,13,16,17,14,16,168
SDK HIDUP BARU,20258399,Jl. Ciumbuleuit No.160,Kec. Cidadap,6,5,5,5,4,5,65
SDK KALAM KUDUS,20219843,Jl. Ibu Inggit Garnasih No. 108 .,Kec. Regol,26,26,15,27,21,26,262
SDK TRIMULIA HITS,20247257,Jl. Dr. Djunjunan No. 105,Kec. Cicendo,40,26,28,27,21,24,302
SDP NEGERI PAJAGALAN 58,20244745,Jalan Pajagalan No 58 Kota Bandung,Kec. Astananyar,66,60,54,58,44,56,741
SDPN SABANG,20245285,Jl. Sabang No. 2,Kec. Bandung Wetan,79,80,89,125,112,109,"1,204"
SDPN SETIABUDI,20244937,Jl. Sarirasa Blok IV Sarijadi Bandung,Kec. Sukasari,49,43,52,54,53,66,663
SDS BPK PENABUR TAMAN HOLIS INDAH,20219822,Komp. Taman Holis Indah Blok A,Kec. Bandung Kulon,76,72,50,59,74,86,794
