npsn,nama,bentuk_pendidikan_nama,jenjang_pendidikan_nama,alamat_jalan,rt,rw,nama_dusun,desa_kelurahan_nama,Column,lintang,bujur,kebutuhan_khusus_nama,status_sekolah_nama,status_kepemilikan_nama
20245259,SD NEGERI RANCASAWO 3,SD,SD / sederajat,Jl. Rancasawo No. 50,2,20,,Margasari,Kec. Buahbatu,-6.9595,107.6592,Tidak ada,Aktif,Pemerintah Daerah
20219611,SD GRACIA 3,SD,SD / sederajat,GG. SEREH NO. 26,10,2,,,Kec. Astanaanyar,-6.9274,107.6117,Tidak ada,Tidak Aktif,Yayasan
20219887,SD SURUUR,SD,SD / sederajat,Jl. Hegarmanah Tengah No. 1a,1,8,,Hegarmanah,Kec. Cidadap,-6.8822,107.6024,Tidak ada,Tidak Aktif,Yayasan
20244957,SD NEGERI BOJONGLOA 5,SD,SD / sederajat,Jl. Cibaduyut Raya No. 142/199 C,4,6,,Kebon Lega,Kec. Bojong Loa Kidul,-6.9508,107.5937,Tidak ada,Aktif,Pemerintah Daerah
20245039,SD NEGERI KOPO 1,SD,SD / sederajat,Jl. Pasirkoja No. 37,1,3,,Nyengseret,Kec. Astanaanyar,-6.9271,107.6013,Tidak ada,Aktif,Pemerintah Daerah
20219892,SD SANTO YUSUP,SD,SD / sederajat,Jl. Jawa No. 2 - 4 ,5,6,,Babakan Ciamis,Kec. Sumur Bandung,-6.9149,107.6111,Tidak ada,Tidak Aktif,Yayasan
20245837,SD NEGERI WARUNG JAMBU 2,SD,SD / sederajat,Jl. Warung Jambu No. 28,1,1,Warung Jambu,Kebon Kangkung,Kec. Kiaracondong,-6.9292,107.6452,Tidak ada,Aktif,Pemerintah Pusat
20245918,SD NEGERI CILANDAK,SD,SD / sederajat,Jl. Sarijadi Blok I,2,2,,Sarijadi,Kec. Sukasari,-6.8776,107.5901,"C1, D",Aktif,Pemerintah Daerah
20219542,SD ANGKASA 3,SD,SD / sederajat,Jl. Zuhri Cik Deri,3,2,,Pajajaran,Kec. Cicendo,-6.899,107.5865,Tidak ada,Tidak Aktif,Yayasan
20245098,SD NEGERI TURANGGA 2,SD,SD / sederajat,Jl. Salak No. 3,3,8,,Lingkar Selatan,Kec. Lengkong,-6.9274,107.629,Tidak ada,Aktif,Lainnya
20244831,SD NEGERI CENTEH 3,SD,SD / sederajat,Jl. Centeh No. 5,0,0,,Samoja,Kec. Batununggal,-6.9231,107.6197,Tidak ada,Aktif,Pemerintah Daerah
20245587,SD NEGERI HAURPANCUH 1,SD,SD / sederajat,Jl. Terusan Teuku Umar No. 87,0,0,,Sadang Serang,Kec. Coblong,-6.8927,107.6197,Tidak ada,Aktif,Pemerintah Daerah
20246398,SD NEGERI BUAHBATU 7,SD,SD / sederajat,Jl. H. Ibrahim Adjie No. 45,3,2,Cijaura,Cijaura,Kec. Buahbatu,-6.9516,107.6409,Tidak ada,Aktif,Lainnya
20245017,SD NEGERI BABAKAN CIPARAY 08,SD,SD / sederajat,Jl. Caringin No. 150,2,5,,Babakan Ciparay,Kec. Babakan Ciparay,-6.9464,107.5875,Tidak ada,Aktif,Pemerintah Daerah
