npsn,nama,bentuk_pendidikan_nama,jenjang_pendidikan_nama,alamat_jalan,rt,rw,nama_dusun,desa_kelurahan,desa_kelurahan_nama,,lintang,bujur,kebutuhan_khusus_nama,status_sekolah_nama,status_kepemilikan_nama
20219455,SMP IGNATIUS SLAMET RIYADI,SMP,SMP / sederajat,Jl. H. Ibrahim Aji Gg. Kebon Kangkung X,2,8,,KEBON KANGKUNG,Kebon Kangkung,Kec. Kiaracondong,-6.9417,107.6503,Tidak ada,Tidak Aktif,Yayasan
20219399,SMP NEGERI 42,SMP,SMP / sederajat,Jl. Manjahlega Bandung,1,21,,Margasari,Margasari,Kec. Buahbatu,-6.9642,107.6704,Tidak ada,Aktif,Pemerintah Daerah
20219472,SMP KRISTEN 5 BPK PENABUR,SMP,SMP / sederajat,Jl. Jendral Sudirman 638,0,0,,Dungus Cariang,Dungus Cariang,Kec. Andir,-6.9126,107.5896,Tidak ada,Tidak Aktif,Yayasan
20219509,SMP PAJAJARAN 1,SMP,SMP / sederajat,Jl. Maleber Utara No.5  Bandung,4,4,Garuda,GARUDA,Garuda,Kec. Andir,-6.9066,107.577,Tidak ada,Tidak Aktif,Yayasan
20219431,SMP KEMALA BHAYANGKARI,SMP,SMP / sederajat,Jl. Palasari No. 46 Bandung,8,9,Palasari,MALABAR,Malabar,Kec. Lengkong,-6.9392,107.6307,Tidak ada,Tidak Aktif,Yayasan
20219198,SMP DARUL HIKAM,SMP,SMP / sederajat,Jl. Ir.h. Juanda No.285,6,9,,Dago,Dago,Kec. Coblong,-6.879,107.6164,Tidak ada,Tidak Aktif,Yayasan
20219484,SMP PGRI 3,SMP,SMP / sederajat,Jl. Sukabumi Dalam No. 4,0,0,,Kacapiring,Kacapiring,Kec. Batununggal,-6.916086,107.635331,C - Tuna grahita ringan,Tidak Aktif,Yayasan
69907014,SMP KRISTEN BPK PENABUR SINGGASANA,SMP,SMP / sederajat,Jl. Indra Prahasta Timur No. 2,3,3,,Mekar Wangi,,Kec. Bojong Loa Kidul,-6.9563,107.6002,Tidak ada,Tidak Aktif,Yayasan
20219204,SMP BINA PERSADA NUSANTARABPN,SMP,SMP / sederajat,Jl.Desa Cipadung No.213,4,4,,CIPADUNG,Cipadung,Kec. Cibiru,-6.9218,107.7076,Tidak ada,Tidak Aktif,Yayasan
20219362,SMP SANTO ALOYSIUS,SMP,SMP / sederajat,Jl. Sultan Agung No. 4,1,3,,CITARUM,Citarum,Kec. Bandung Wetan,-6.9087,107.6252,Tidak ada,Tidak Aktif,Yayasan
