nama_aplikasi,pemilik,tautan,status,jenis_platform,kepemillikan
Red Notice,BPPT,,dibangun,web,sendiri
Repository Bahan Ajar,Disdik,,dioperasikan,web,sendiri
Retribusi Pemeriksaan Alat Pemadam Kebakaran,DISKAR,,dioperasikan,web,sendiri
RKAKL,K/L Pusat,,dioperasikan,web,dari pusat
RW-net,Bappeda,,tidak operasional,web,hibah
SABMN,K/L Pusat,,dioperasikan,web,dari pusat
SAKPA,K/L Pusat,,dioperasikan,web,dari pusat
Sanitasi Total Berbasis Masyarakat,K/L Pusat,,dioperasikan,mobile,dari pusat
Sembako,Diskominfo,http://www.sembako.bandung.go.id/,dibangun,multiplatform,sendiri
SIHA,K/L Pusat,,dioperasikan,web,dari pusat
SIKDA - SIMPUS Kegiatan Puskesmas,K/L Pusat,,dioperasikan,web,dari pusat
SIKDA 2.0,Dinkes,,direncanakan,web,sendiri
SIM BPPSDMK,K/L Pusat,,dioperasikan,web,dari pusat
SIM Hasil Pemeriksaan & Pengawasan,K/L Pusat,,dioperasikan,web,dari pusat
Simkes Kota Bandung,Dinkes,,direncanakan,web,sendiri
SIRS VI,K/L Pusat,,dioperasikan,web,dari pusat
SISKOHAT,K/L Pusat,,dioperasikan,mobile,dari pusat
Sistem Aplikasi Database Bandung Store Online,DInas KUKM Indag,,dibangun,web,sendiri
Sistem Aplikasi Database Pengembangan Informasi Potensi Unggulan Produk Ekspor dan Peluang Pasar Ekspor,DInas KUKM Indag,,dibangun,web,sendiri
Sistem Aplikasi Database PKL Kota Bandung,DInas KUKM Indag,,dioperasikan,web,sendiri
Sistem Aplikasi pelaporan Dinkes Provinsi Jabar,K/L Pusat,www.http://diskes.jabarprov.go.id/pelaporan2/,dioperasikan,web,dari pusat
Sistem Evaluasi & Pelaporan,DISPORA,,dibangun,web,sendiri
Sistem Evaluasi Pendidikan,Disdik,,diujicoba,web,sendiri
Sistem Informasi Absensi Pegawai,BKD,,dioperasikan,web,sendiri
Sistem Informasi Administrasi Kependudukan,K/L Pusat,,dioperasikan,web,dari pusat
Sistem Informasi Akta Kependudukan Biomorf,K/L Pusat,,dioperasikan,web,dari pusat
Sistem informasi Bezzeting,BKD,,direncanakan,web,sendiri
Sistem Informasi Cicilan,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Sistem Informasi dan Manjemen Penanggulangan Krisis Bencana,K/L Pusat,,dioperasikan,web,dari pusat
Sistem Informasi Debitur,PD BPR,,dioperasikan,web,sendiri
Sistem Informasi Eksekutif Kepegawaian,BKD,,dioperasikan,web,sendiri
Sistem Informasi Geografis,Disdik,,diujicoba,web,sendiri
Sistem Informasi Gizi,K/L Pusat,,dioperasikan,mobile,dari pusat
Sistem Informasi HIV/AIDS,RSUD Kota Bandung,,dioperasikan,desktop,sendiri
Sistem Informasi Laporan Akutabilitas Kinerja Instansi Pemerintah,ORPAD,,dioperasikan,web,sendiri
Sistem Informasi Laporan Pencatatan Meter,PDAM Tirtawening,,dioperasikan,web,sendiri
Sistem Informasi LPKL,PDAM Tirtawening,,dioperasikan,desktop,sendiri
