nama_dewan,partai_politik,dapil,kecamatan_dapil,tahun,usulan_reses,skpd,program,kegiatan,volume,lokasi,anggaran_skpd,status
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Perbaikan Saluran Air,Dinas Bina Marga dan Pengairan,-,-,-,"RT.04, 05, 06, 07 RW.05 KEL. BABAKAN KEC. BABAKAN CIPARAY, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Perbaikan Jalan Lingkungan,Dinas Bina Marga dan Pengairan,-,-,-,"RT.04, 05, 06, 07 RW.05 KEL. BABAKAN KEC. BABAKAN CIPARAY, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Perbaikan Kirmir,Dinas Bina Marga dan Pengairan,-,-,-,"RT.07 RW.05 KEL;. BABAKAN KEC. BABABAKAN CIPARAY, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Pembangunan Gedung Posyandu,Bojongloa Kaler,-,-,-,"RT.09 RW.002 GG. RADEN DEWI V KEL. BABAKAN TAROGONG KEC. BOJONGLOA KALER, KEL., KEC.",0,Belum Diproses
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Saluran Air Kotor,Dinas Bina Marga dan Pengairan,-,-,-,"RT.01 S/D 08 RW.01 KOPO KEC. BOJONGLOA KALER, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Penerangan Jalan,Dinas Bina Marga dan Pengairan,-,-,-,"RT.01 DAN 05 KOPO KEC. BOJONGLOA KALER, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Perbaikan Jalan,Dinas Bina Marga dan Pengairan,-,-,-,"RT.04 DAN 05 RW.09 KOPO KEC. BOJONGLOA KALER, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Rekayasa Daerah Banjir,Dinas Bina Marga dan Pengairan,-,-,-,"RT.01 S/D 05 RW. 01 KOPO KEC. BOJONGLOA KALER, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Perbaikan Gang Rabat Beton,Dinas Bina Marga dan Pengairan,-,-,-,"GG. RADEN DEWI VI.A RT.10 RW.02 KEL. BABAKAN TAROGONG KEC. BOJONGLOA KALER, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Saluran Air Kotor,Dinas Bina Marga dan Pengairan,-,-,-,"GG. RADEN DEWI VI.A RT.10 RW.02 KEL. BABAKAN TAROGONG KEC. BOJONGLOA KALER, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Perbaikan Jalan,Dinas Bina Marga dan Pengairan,-,-,-,"GG. KEBON LEGA II RT11/04 KEC. BOJONGLOA KIDUL, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Pembuangan Air Kotaor,Dinas Bina Marga dan Pengairan,-,-,-,"GG. KEBON LEGA II RT11/04 KEC. BOJONGLOA KIDUL, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Pembuatan Gapura,Dinas Tata Ruang dan Cipta Karya,-,-,-,"JL. NYENGSERET UTARA RT.06 RW.02 KEL. SITU SAEUR KEC. BOJONGLOA KIDUL, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Bedah Rumah,Dinas Tata Ruang dan Cipta Karya,Program Pengembangan Perumahan,Kegiatan Fasilitasi dan Stimulasi Pembangunan Perumahan Masyarakat Kurang Mampu,-,"JL. SITUSAEUR TIMUR II RT02/01 KEL. SITUSAER KEC. BOJONGLOA KIDUL, KEL., KEC.",20000000,Diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Bedah Rumah,Dinas Tata Ruang dan Cipta Karya,Program Pengembangan Perumahan,Kegiatan Fasilitasi dan Stimulasi Pembangunan Perumahan Masyarakat Kurang Mampu,-,"JL. KOPO GG. GAGAK HANDOKO NO.66/198 B RT.04/01 KEL. SITUSAER KEC. BOJONGLOA KIDUL, KEL., KEC.",20000000,Diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Bedah Rumah,Dinas Tata Ruang dan Cipta Karya,Program Pengembangan Perumahan,Kegiatan Fasilitasi dan Stimulasi Pembangunan Perumahan Masyarakat Kurang Mampu,-,"GG. YEYE SURYA RT06/02 JL. NYENGSERET UTARA 241/198B KEC. BOJONGLOA KIDUL, KEL., KEC.",20000000,Diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Kirmir Kali Citepus,Dinas Tata Ruang dan Cipta Karya,-,-,-,"JL. MOH. TOHA GG. CISEUREUH VIII RT.08 RW.03 KEL. KARASAK, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Rumah Kumuh,Dinas Tata Ruang dan Cipta Karya,Program Pengembangan Perumahan,Kegiatan Fasilitasi dan Stimulasi Pembangunan Perumahan Masyarakat Kurang Mampu,-,"JL. KOPO GG. CITARIP TIMUR I RT.01 RW.05 BOJONGLOA KIDUL, KEL., KEC.",20000000,Diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Permohonan Sumber Air Bersih,Dinas Tata Ruang dan Cipta Karya,Program Lingkungan Sehat Perumahan,Kegiatan Penyediaan Sarana Air Bersih dan Sanitasi Dasar Terutama bagi Masyaraka Miskin,-,"RT.03/05 KEL. MEKAR WANGI KEC. BOJONGLOA KIDUL, KEL., KEC.",30000000,Diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Permohonan Air Bersih,Dinas Tata Ruang dan Cipta Karya,Program Lingkungan Sehat Perumahan,Kegiatan Penyediaan Sarana Air Bersih dan Sanitasi Dasar Terutama bagi Masyaraka Miskin,-,"RT.05 RW.05 CURUGCANDUGN KEC. BOJONGLOA KIDUL, KEL., KEC.",30000000,Diakomodir
