Nama Lembaga,Jenis Satuan,No. NPSN/NILEK/  NILEM,Status,Alamat,Kelurahan,Kecamatan,PTK_LakiLaki,PTK_Perempuan,Siswa_LakiLaki,Siswa_Perempuan
YDB AL AZHAR,TK,20255295,Swasta,JL.WASPADA N0. 16,Pasteur,Sukajadi,0,5,35,35
YAYASAN BERIBU,TK,20255025,Swasta,JURANG NO. 60,Pasteur,Sukajadi,0,2,23,19
GIKI,TK,20255026,Swasta,KARANGSARI NO. 29,Pasteur,Sukajadi,0,3,11,14
TRISULA PERWARI,TK,20255024,Swasta,MAKMUR NO. 32,Pasteur,Sukajadi,1,4,32,48
NUR IKHLAS,TK,,Swasta,JL. CIPEDES TENGAH,Suka Galih,Sukajadi,0,2,9,11
TKA NURUL HUDA,TK,,Swasta,JL. DANGDEUR INDAH NO.24 RT05 RW01,Suka Galih,Sukajadi,0,3,13,13
KUNCUP HARAPAN,TK,20255018,Swasta,SARIMADU BLOK 26 NO 30,Suka Warna,Sukajadi,0,2,5,9
INDRIYASANA,TK,,Negeri,UNPAR 2 NO.10,Suka Warna,Sukajadi,0,2,9,8
AISYIYAH 10,TK,20255022,Swasta,GARUNGGANG KULON NO. 431/65,Sukabungah,Sukajadi,0,5,20,23
ANUGERAH,TK,20255029,Swasta,SUKAMULYA NO. 52A,Sukabungah,Sukajadi,0,2,12,18
MELATI ASRI,TK,20255020,Swasta,TERUSAN PASTER NO. 104/182,Sukabungah,Sukajadi,0,2,12,2
AISYIYAH 7,TK,20254677,Swasta,JALAN SINDANG SIRNA NO.7,Gegerkalong,Sukasari,0,3,12,18
KB&BIANGLALA,TK,20255016,Swasta,AJUDAN JENDRAL NO.75H,Gegerkalong,Sukasari,1,11,25,27
NURUL FALAH,TK,20254690,Swasta,GEGERKALONG GIRANG NO 92,Gegerkalong,Sukasari,0,4,12,11
NASYWA,TK,20254681,Swasta,Gegerkalong Lebak II No 06,Gegerkalong,Sukasari,0,7,16,15
KHAS DAARUT TAUHIID,TK,20255013,Swasta,JL.  GEGERKALONG GIRANG KOMPLEK MIDC NO. 55J,Gegerkalong,Sukasari,2,14,7,13
AT-TAQWA,TK,20254691,Swasta,JL. INTENDANS NO. 77 S,Gegerkalong,Sukasari,0,13,49,46
KARTIKA XIX - 1,TK,20254689,Swasta,JL. PAK GATOT 1 KPAD,Gegerkalong,Sukasari,1,8,38,28
PELITA NUSANTARA,TK,20254686,Swasta,Jl.Suka Asih no.61 A,Gegerkalong,Sukasari,1,11,31,39
TK.SANTO ALOYSIUS,TK,20254687,Swasta,SUKAJADI 223,Gegerkalong,Sukasari,0,14,29,27
LAB UPI,TK,20255014,Swasta,Jln. Sanjaya Guru No.3 Kampus UPI,Isola,Sukasari,2,8,21,21
AL-IKHLAS,TK,20255015,Swasta,NEGLA,Isola,Sukasari,0,3,16,14
AR RAUDLAH,TK,20254684,Swasta,CIJEROKASO NO 103,Sarijadi,Sukasari,0,4,17,8
AL-INAYAH,TK,20254676,Swasta,CIJEROKASO NO. 45,Sarijadi,Sukasari,0,8,31,21
TKIT AL-AQSHO,TK,20254679,Swasta,JALAN SARIJADI RAYA,Sarijadi,Sukasari,0,8,26,44
SARIJADI,TK,20254685,Swasta,JL. SARIJADI BLOK 17,Sarijadi,Sukasari,0,4,19,20
PUSPA MEKAR,TK,20254683,Swasta,JL. SARIRASA BLOK 4 NO. 121 ,Sarijadi,Sukasari,0,5,12,23
ISLAM AL AZHAR 30,TK,20254675,Swasta,JLN TIRTASARI III NO.1,Sarijadi,Sukasari,0,7,38,34
AISYIYAH 11,TK,20254674,Swasta,JLN. SARIMANAH I NO. 38,Sarijadi,Sukasari,0,8,35,32
ARMIA,TK,20254680,Swasta,SARIMADU BARAT NO. 125,Sarijadi,Sukasari,0,6,20,30
PERMATASARI,TK,20254682,Swasta,JL. SUKAHAJI RT 04 RW 07,Sukarasa,Sukasari,0,3,7,15
AL-MURABBI,TK,69759469,Swasta,PROF. DR. IR. SUTAMI,Sukarasa,Sukasari,0,5,11,18
KEMALA BHAYANGKARI 37,TK,20255238,Swasta,NIAS NO. 1,Babakan Ciamis,Sumur Bandung,0,4,17,11
KEPODANG,TK,20255237,Swasta,JL KEBON SIRIH NO.18,Babakan Ciamis,Sumur Bandung,0,3,19,14
SANTA ANGELA EARLY YEARS EDUCATION,TK,20255236,Swasta,JALAN MERDEKA NO.24,Babakan Ciamis,Sumur Bandung,0,10,99,119
TK.BRAGA,TK,20255231,Swasta,JL.BRAGA GG.APANDI NO.118/11A,Braga,Sumur Bandung,0,3,19,25
BPP-YPDKI An Nahl,TK,20255233,Swasta,Jl. Van Deventer No. 14,Kebon Pisang,Sumur Bandung,2,8,13,12
KRISTEN YAHYA,TK,20255230,Swasta,VAN DEVENTER NO. 12,Kebon Pisang,Sumur Bandung,3,17,20,23
SANTO YUSUP,TK,20255229,Swasta,Jawa NO. 2 - 4,Merdeka,Sumur Bandung,0,15,37,26
KRISTEN PAULUS 3,TK,20255228,Swasta,JL. LOMBOK NO. 7,Merdeka,Sumur Bandung,0,4,24,23
KARTIKA XIX-8,TK,20255235,Swasta,JL. MENADO NO.12 ,Merdeka,Sumur Bandung,0,3,25,24
TK.ADE IRMA,TK,20255227,Swasta,JL.BELITUNG NO. 1,Merdeka,Sumur Bandung,0,4,8,23
DEWI ASIH,TK,20255173,Swasta,CIGENDING NO. 152,Cigending,Ujungberung,0,3,6,9
HARUMAN,TK,20255172,Swasta,HARUMAN NO. 59,Cigending,Ujungberung,0,13,75,85
KASIH IBU,TK,,Swasta,JLN SEGAR ATAS RT 06 RW 10,Cigending,Ujungberung,0,4,12,12
BUNDA ASUH NANDA,TK,20255169,Swasta,UBER INDAH RAYA NO. 1 (KOMPLEK PUTERACO),Cigending,Ujungberung,1,6,52,41
KLAB ANAK MENTARI,TK,20255404,Swasta,A.H. NASUTION ANDIR WETAN NO. 83 RT 02 RW 01,Pasanggrahan,Ujungberung,0,3,11,7
BINA INSAN CEMERLANG,TK,20255178,Swasta,CIPOREAT GG MANDALA IV NO 42 846,Pasanggrahan,Ujungberung,0,5,13,20
BINA INSANI,TK,20255168,Swasta,KOMP. PASANGGRAHAN INDAH BLOK 2 NO. 33,Pasanggrahan,Ujungberung,0,5,11,16
BINA PUTRA,TK,20255170,Swasta,JL. VIJAYA KUSUMA III NO. 44A KOM CIJAMBE INDAH,Pasir endah,Ujungberung,0,6,13,14
MUTIARA,TK,20255171,Swasta,KOMP. SIMPAY ASIH CIJAMBE NO. 1,Pasir endah,Ujungberung,0,4,22,27
BINA MULYA LESTARI,TK,20255167,Swasta,TARUNA 1 NO. 13,Pasir endah,Ujungberung,0,4,16,18
BINA INSANI BANGSA,TK,20255175,Swasta,TERUSAN SUKUP BARU III NO.3 ,Pasir endah,Ujungberung,0,6,0,0
PLUS BAITURRAHMAN,TK,20255182,Swasta,JL PROF KH M SYADLY HASAN NO 44 NAGROG II,Pasir Jati,Ujungberung,2,4,24,15
YASMI,TK,20255181,Swasta,NAGROG I NO 54 RT 03 RW 07,Pasir Jati,Ujungberung,0,4,16,18
MEKAR ARUM,TK,20255174,Swasta,CIGENDING NO 685,Pasir Wangi,Ujungberung,0,6,31,39
EKALIANA,TK,20255180,Swasta,CINANGKA,Pasir Wangi,Ujungberung,0,2,7,8
BINA PEMULA NUR-ASIAH,TK,20255177,Swasta,JALAN SAMIAJI NO 70 RT 04 RW 02,Pasir Wangi,Ujungberung,0,10,61,55
MELATI MEKAR,TK,20255179,Swasta,JL. CINANGKA CIPICUNG NO. 21,Pasir Wangi,Ujungberung,0,3,13,7
KARTINA 2,TK,,Swasta,JL. PALINTANG SEKEBURUY NO 153,Pasir Wangi,Ujungberung,0,2,13,4
ALAMANDA,TK,,Swasta,KOMP. GRIYA WINAYA B 9 NO. 6,Pasir Wangi,Ujungberung,0,2,10,12
