RUAS JALAN,KELURAHAN,KECAMATAN,WILAYAH,JUMLAH
Jl. pasadena,Margahayu Utara,Babakan Ciparay,Tegallega,23
Jl. sabrina psdn,Margahayu Utara,Babakan Ciparay,Tegallega,3
Jl. tulip psdn,Margahayu Utara,Babakan Ciparay,Tegallega,3
Perumahan Cibolerang Indah,Margahayu Utara,Babakan Ciparay,Tegallega,7
Jl. Cigondewah Rahayu,Margasuka,Babakan Ciparay,Tegallega,5
Jl. kom industri pepssi,Margasuka,Babakan Ciparay,Tegallega,10
Jl. komp kopo mas,Margasuka,Babakan Ciparay,Tegallega,33
Jl. kopo mas,Margasuka,Babakan Ciparay,Tegallega,48
Jl. kopo mas regency,Margasuka,Babakan Ciparay,Tegallega,123
Jl. Aksan Permai,Sukahaji,Babakan Ciparay,Tegallega,1
Jl. Jamika,Sukahaji,Babakan Ciparay,Tegallega,4
Jl. Pagarsih Barat,Sukahaji,Babakan Ciparay,Tegallega,12
Jl. Sakura Elok,Sukahaji,Babakan Ciparay,Tegallega,3
Jl. Sakura Indah,Sukahaji,Babakan Ciparay,Tegallega,7
Jl. Sakura Permai,Sukahaji,Babakan Ciparay,Tegallega,4
Jl. Situ,Sukahaji,Babakan Ciparay,Tegallega,5
Jl. Situ Aksan,Sukahaji,Babakan Ciparay,Tegallega,12
Jl. Tmn Hijau,Sukahaji,Babakan Ciparay,Tegallega,7
Jl. bougenville skr,Sukahaji,Babakan Ciparay,Tegallega,5
Jl. dwisinki,Sukahaji,Babakan Ciparay,Tegallega,1
Jl. grahacitracemara,Sukahaji,Babakan Ciparay,Tegallega,5
Jl. jamika baru1,Sukahaji,Babakan Ciparay,Tegallega,10
Jl. kaktus skr,Sukahaji,Babakan Ciparay,Tegallega,3
Jl. kaliandra skr,Sukahaji,Babakan Ciparay,Tegallega,5
Jl. prastista taman sakura,Sukahaji,Babakan Ciparay,Tegallega,1
Jl. sakura utama,Sukahaji,Babakan Ciparay,Tegallega,2
Jl. sikas skr,Sukahaji,Babakan Ciparay,Tegallega,7
Jl. situaksanpermai,Sukahaji,Babakan Ciparay,Tegallega,9
Jl. Arhanud,Batununggal,Bandung Kidul,Gedebage,1
Jl. Batu Indah III,Batununggal,Bandung Kidul,Gedebage,5
Jl. Batu Indah IV,Batununggal,Bandung Kidul,Gedebage,1
Jl. Batu Indah Raya,Batununggal,Bandung Kidul,Gedebage,17
Jl. Batu Indah Raya VI,Batununggal,Bandung Kidul,Gedebage,23
Jl. Batu Indah V,Batununggal,Bandung Kidul,Gedebage,2
Jl. Batu Indah XIV,Batununggal,Bandung Kidul,Gedebage,1
Jl. Batu Nunggal Indah 1,Batununggal,Bandung Kidul,Gedebage,20
Jl. Batu Nunggal Indah 5,Batununggal,Bandung Kidul,Gedebage,18
Jl. Batu Nunggal Indah 6,Batununggal,Bandung Kidul,Gedebage,6
Jl. Batu Nunggal Indah 8,Batununggal,Bandung Kidul,Gedebage,19
Jl. Batu Nunggal Indah Raya,Batununggal,Bandung Kidul,Gedebage,27
Jl. Batu Nunggal Molek II,Batununggal,Bandung Kidul,Gedebage,6
Jl. Parakan Arum,Batununggal,Bandung Kidul,Gedebage,6
Jl. Parakan Asri,Batununggal,Bandung Kidul,Gedebage,7
Jl. Parakan Resik,Batununggal,Bandung Kidul,Gedebage,2
Jl. Soekarno - Hatta,Batununggal,Bandung Kidul,Gedebage,3
Jl. Terusan Batununggal Bojong,Batununggal,Bandung Kidul,Gedebage,10
Jl. Terusan Buah Batu,Batununggal,Bandung Kidul,Gedebage,61
Jl. Waas,Batununggal,Bandung Kidul,Gedebage,15
Komplek Perumahan Parakan Asri,Batununggal,Bandung Kidul,Gedebage,40
Jl. Buana Sari IV,Kujangsari,Bandung Kidul,Gedebage,6
Jl. Buana Sari Raya,Kujangsari,Bandung Kidul,Gedebage,3
Jl. Buana Sari Raya VI,Kujangsari,Bandung Kidul,Gedebage,6
Jl. Ciparay,Kujangsari,Bandung Kidul,Gedebage,11
Jl. Jaka utama,Kujangsari,Bandung Kidul,Gedebage,5
Jl. Komplek jakapurwa,Kujangsari,Bandung Kidul,Gedebage,5
Jl. Logam,Kujangsari,Bandung Kidul,Gedebage,6
Jl. Ters Logam,Kujangsari,Bandung Kidul,Gedebage,6
Jl. Batu Nunggal Elok,Mengger,Bandung Kidul,Gedebage,6
Jl. Batu Nunggal Elok I,Mengger,Bandung Kidul,Gedebage,8
Jl. Batu Nunggal Elok II,Mengger,Bandung Kidul,Gedebage,11
Jl. Batu Nunggal Elok III,Mengger,Bandung Kidul,Gedebage,14
Jl. Batu Nunggal Elok IV,Mengger,Bandung Kidul,Gedebage,11
Jl. Batu Nunggal Elok VI,Mengger,Bandung Kidul,Gedebage,11
Jl. Batu Nunggal Indah 2,Mengger,Bandung Kidul,Gedebage,22
Jl. Batu Nunggal Indah 4,Mengger,Bandung Kidul,Gedebage,17
Jl. Batu Nunggal Indah 9,Mengger,Bandung Kidul,Gedebage,8
Jl. Batu Nunggal Mulya,Mengger,Bandung Kidul,Gedebage,7
Jl. Batu Nunggal Mulya I,Mengger,Bandung Kidul,Gedebage,11
Jl. Batu Nunggal Mulya II,Mengger,Bandung Kidul,Gedebage,14
Jl. Batu Nunggal Mulya III,Mengger,Bandung Kidul,Gedebage,15
Jl. Batu Nunggal Mulya IV,Mengger,Bandung Kidul,Gedebage,12
Jl. Batu Nunggal Mulya IX,Mengger,Bandung Kidul,Gedebage,18
Jl. Batu Nunggal Mulya V,Mengger,Bandung Kidul,Gedebage,15
Jl. Batu Nunggal Mulya VI,Mengger,Bandung Kidul,Gedebage,18
Jl. Batu Nunggal Mulya X,Mengger,Bandung Kidul,Gedebage,10
Jl. Batu Nunggal Mulya XI,Mengger,Bandung Kidul,Gedebage,16
Jl. Batu Nunggal Mulya XII,Mengger,Bandung Kidul,Gedebage,21
Jl. Parakan Waas,Mengger,Bandung Kidul,Gedebage,1
Jl. Sukaati,Mengger,Bandung Kidul,Gedebage,18
Jl. Moh. Toha,Wates,Bandung Kidul,Gedebage,10
Jl. curug bandung,Wates,Bandung Kidul,Gedebage,1
Jl. nradireja,Wates,Bandung Kidul,Gedebage,1
Jl. Cigondewah Raya,,Bandung Kulon,Tegallega,36
Jl. Gempolsari,,Bandung Kulon,Tegallega,20
Jl. Melong Asih,,Bandung Kulon,Tegallega,23
Jl. Wijayakusumah,,Bandung Kulon,Tegallega,9
Jl. gempolsariindah,,Bandung Kulon,Tegallega,27
Jl. persatuan cjrh wetan,,Bandung Kulon,Tegallega,4
Jl. Bojong Raya,Caringin,Bandung Kulon,Tegallega,22
Jl. Cijerah,Caringin,Bandung Kulon,Tegallega,47
Jl. asbes,Caringin,Bandung Kulon,Tegallega,1
Jl. batamerah,Caringin,Bandung Kulon,Tegallega,1
Jl. batamerah3,Caringin,Bandung Kulon,Tegallega,4
Jl. holispermai,Caringin,Bandung Kulon,Tegallega,13
Jl. kawat,Caringin,Bandung Kulon,Tegallega,3
Jl. pasir,Caringin,Bandung Kulon,Tegallega,1
Jl. permataindah,Caringin,Bandung Kulon,Tegallega,11
Jl. Holis,Cibuntu,Bandung Kulon,Tegallega,12
Jl. h.alfi,Cibuntu,Bandung Kulon,Tegallega,9
Gg. H. Aki Iman,Cigondewah Kaler,Bandung Kulon,Tegallega,3
Jl. Cigondewah,Cigondewah Kaler,Bandung Kulon,Tegallega,20
Jl. Cigondewah Kaler,Cigondewah Kaler,Bandung Kulon,Tegallega,21
Jl. THI II Blok E,Cigondewah Kaler,Bandung Kulon,Tegallega,16
Jl. THI II Blok F,Cigondewah Kaler,Bandung Kulon,Tegallega,17
Jl. Taman Holis I-2,Cigondewah Kaler,Bandung Kulon,Tegallega,30
Jl. cicukang_tegalega,Cigondewah Kaler,Bandung Kulon,Tegallega,1
Jl. h taufik,Cigondewah Kaler,Bandung Kulon,Tegallega,1
Jl. holisindah4,Cigondewah Kaler,Bandung Kulon,Tegallega,18
Jl. komplekgempolasri,Cigondewah Kaler,Bandung Kulon,Tegallega,48
Jl. tamanholisindah1,Cigondewah Kaler,Bandung Kulon,Tegallega,22
Jl. Taman Holis Indah,Cigondewah Kidul,Bandung Kulon,Tegallega,42
Jl. Taman Holis Indah II,Cigondewah Kidul,Bandung Kulon,Tegallega,61
Jl. Taman Holis Indah II Blok D,Cigondewah Kidul,Bandung Kulon,Tegallega,80
Jl. Tmn Holis Indah,Cigondewah Kidul,Bandung Kulon,Tegallega,1
Jl. Tmn Holis Indah I,Cigondewah Kidul,Bandung Kulon,Tegallega,2
Jl. taman holis,Cigondewah Kidul,Bandung Kulon,Tegallega,6
Jl. tamanholisindah,Cigondewah Kidul,Bandung Kulon,Tegallega,18
Jl. tamanholisindah5,Cigondewah Kidul,Bandung Kulon,Tegallega,19
Jl. komp putrasawargipersada,Cigondewah Rahayu,Bandung Kulon,Tegallega,1
Jl. Cijerah Tengah,Cijerah,Bandung Kulon,Tegallega,48
Jl. Cijerah Wetan,Cijerah,Bandung Kulon,Tegallega,53
Jl. komplek asih regency,Cijerah,Bandung Kulon,Tegallega,10
Jl. melongnirwana regency,Cijerah,Bandung Kulon,Tegallega,4
Jl. paralon,Cijerah,Bandung Kulon,Tegallega,1
Komplek Perumnas Cijerah,Cijerah,Bandung Kulon,Tegallega,8
Jl. Melong Asih Kidul,Gempol Sari,Bandung Kulon,Tegallega,29
Jl. Resmi Asih,Gempol Sari,Bandung Kulon,Tegallega,2
Jl. Tmn Burung,Gempol Sari,Bandung Kulon,Tegallega,3
Jl. Tmn Burung-1,Gempol Sari,Bandung Kulon,Tegallega,7
Jl. Tmn Burung-blokB,Gempol Sari,Bandung Kulon,Tegallega,5
Jl. Tmn Burung-blokD,Gempol Sari,Bandung Kulon,Tegallega,7
Jl. Tmn Burung-blokE,Gempol Sari,Bandung Kulon,Tegallega,7
Jl. Tmn Burung-blokI,Gempol Sari,Bandung Kulon,Tegallega,7
Jl. komplek bumiasri,Gempol Sari,Bandung Kulon,Tegallega,20
Jl. pesonatamanburung,Gempol Sari,Bandung Kulon,Tegallega,21
Jl. Jend. Sudirman,Warung Muncang,Bandung Kulon,Tegallega,4
Jl. Suryani Dalam,Warung Muncang,Bandung Kulon,Tegallega,1
Jl. badan mineral nasional,Warung Muncang,Bandung Kulon,Tegallega,20
Jl. komp hanukarya-tg,Warung Muncang,Bandung Kulon,Tegallega,25
Citarum,Cihapit,Bandung Wetan,Cibeunying,22
Jl. Aceh,Cihapit,Bandung Wetan,Cibeunying,33
Jl. Ahmad Yani,Cihapit,Bandung Wetan,Cibeunying,11
Jl. Anggrek,Cihapit,Bandung Wetan,Cibeunying,7
Jl. Belimbing,Cihapit,Bandung Wetan,Cibeunying,4
Jl. Bengawan,Cihapit,Bandung Wetan,Cibeunying,19
Jl. Brantas,Cihapit,Bandung Wetan,Cibeunying,4
Jl. Cendana,Cihapit,Bandung Wetan,Cibeunying,4
Jl. Cihapit,Cihapit,Bandung Wetan,Cibeunying,12
Jl. Cilaki,Cihapit,Bandung Wetan,Cibeunying,20
Jl. Ciliwung,Cihapit,Bandung Wetan,Cibeunying,10
Jl. Cipunagara,Cihapit,Bandung Wetan,Cibeunying,6
Jl. Cisangkuy,Cihapit,Bandung Wetan,Cibeunying,17
Jl. Citarum,Cihapit,Bandung Wetan,Cibeunying,3
Jl. Ciwulan,Cihapit,Bandung Wetan,Cibeunying,1
Jl. Diponegoro,Cihapit,Bandung Wetan,Cibeunying,57
Jl. Dukuh,Cihapit,Bandung Wetan,Cibeunying,6
Jl. Jend. Ahmad Yani,Cihapit,Bandung Wetan,Cibeunying,2
Jl. Jeruk,Cihapit,Bandung Wetan,Cibeunying,1
Jl. Johar,Cihapit,Bandung Wetan,Cibeunying,7
Jl. Mangga,Cihapit,Bandung Wetan,Cibeunying,10
Jl. Nanas,Cihapit,Bandung Wetan,Cibeunying,8
Jl. Nangka,Cihapit,Bandung Wetan,Cibeunying,2
Jl. Pasang,Cihapit,Bandung Wetan,Cibeunying,1
Jl. RE Martadinata,Cihapit,Bandung Wetan,Cibeunying,48
Jl. Rambutan,Cihapit,Bandung Wetan,Cibeunying,2
Jl. Saninten,Cihapit,Bandung Wetan,Cibeunying,2
Jl. Sawo,Cihapit,Bandung Wetan,Cibeunying,4
Jl. Supratman,Cihapit,Bandung Wetan,Cibeunying,1
Jl. Tanjung,Cihapit,Bandung Wetan,Cibeunying,8
Jl. Tmn Cibeungying Selatan,Cihapit,Bandung Wetan,Cibeunying,7
Jl. Tmn Cibeunying Utara,Cihapit,Bandung Wetan,Cibeunying,11
Jl. Tmn Pramuka,Cihapit,Bandung Wetan,Cibeunying,7
Jl. mataram,Cihapit,Bandung Wetan,Cibeunying,1
Jl. pulaulaut,Cihapit,Bandung Wetan,Cibeunying,3
Jl. sabang,Cihapit,Bandung Wetan,Cibeunying,5
Jl. salam,Cihapit,Bandung Wetan,Cibeunying,10
Jl. serayu,Cihapit,Bandung Wetan,Cibeunying,1
Jl. suren,Cihapit,Bandung Wetan,Cibeunying,2
Jl. Adipati Kertabumi,Citarum,Bandung Wetan,Cibeunying,5
Jl. Ambon,Citarum,Bandung Wetan,Cibeunying,11
Jl. Ariajipang,Citarum,Bandung Wetan,Cibeunying,4
Jl. Bahureksa,Citarum,Bandung Wetan,Cibeunying,7
Jl. Banda,Citarum,Bandung Wetan,Cibeunying,11
Jl. Cilamaya,Citarum,Bandung Wetan,Cibeunying,4
Jl. Cimandiri,Citarum,Bandung Wetan,Cibeunying,7
Jl. Cimanuk,Citarum,Bandung Wetan,Cibeunying,6
Jl. Cisanggarung,Citarum,Bandung Wetan,Cibeunying,2
Jl. Gesan Ulun,Citarum,Bandung Wetan,Cibeunying,6
Jl. Jati Gasibu,Citarum,Bandung Wetan,Cibeunying,10
Jl. Juanda,Citarum,Bandung Wetan,Cibeunying,16
Jl. Lombok,Citarum,Bandung Wetan,Cibeunying,5
Jl. Maulana Yusup,Citarum,Bandung Wetan,Cibeunying,4
Jl. Merdeka,Citarum,Bandung Wetan,Cibeunying,12
Jl. Progo,Citarum,Bandung Wetan,Cibeunying,11
Jl. Sentot Alibasyah,Citarum,Bandung Wetan,Cibeunying,5
Jl. Seram,Citarum,Bandung Wetan,Cibeunying,5
Jl. Sultan Agung,Citarum,Bandung Wetan,Cibeunying,6
Jl. Sultan Tirtayasa,Citarum,Bandung Wetan,Cibeunying,7
Jl. Sumatra,Citarum,Bandung Wetan,Cibeunying,7
Jl. Surapati,Citarum,Bandung Wetan,Cibeunying,1
Jl. Trunojoyo,Citarum,Bandung Wetan,Cibeunying,12
Jl. Wira Angun Angun,Citarum,Bandung Wetan,Cibeunying,6
Jl. geusan ulun,Citarum,Bandung Wetan,Cibeunying,1
Jl. gor saparua-cb,Citarum,Bandung Wetan,Cibeunying,4
Jl. haimahera,Citarum,Bandung Wetan,Cibeunying,5
Jl. maluku,Citarum,Bandung Wetan,Cibeunying,6
Jl. pangerancornel-cb,Citarum,Bandung Wetan,Cibeunying,2
Jl. prabumuntur-cb,Citarum,Bandung Wetan,Cibeunying,5
Jl. sulawesi,Citarum,Bandung Wetan,Cibeunying,9
Jl. ternate,Citarum,Bandung Wetan,Cibeunying,6
Jl. Cicendo,Taman Sari,Bandung Wetan,Cibeunying,2
Jl. Cihampelas,Taman Sari,Bandung Wetan,Cibeunying,9
Jl. Cipaganti,Taman Sari,Bandung Wetan,Cibeunying,2
Jl. Hariangbanga,Taman Sari,Bandung Wetan,Cibeunying,4
Jl. Hariangbangga,Taman Sari,Bandung Wetan,Cibeunying,2
Jl. Pelesiran,Taman Sari,Bandung Wetan,Cibeunying,3
Jl. Purnawarman,Taman Sari,Bandung Wetan,Cibeunying,4
Jl. Rangga Gading,Taman Sari,Bandung Wetan,Cibeunying,4
Jl. Rangga Malela,Taman Sari,Bandung Wetan,Cibeunying,1
Jl. Saung Galing,Taman Sari,Bandung Wetan,Cibeunying,3
Jl. Sulanjana,Taman Sari,Bandung Wetan,Cibeunying,4
Jl. Taman Sari,Taman Sari,Bandung Wetan,Cibeunying,4
Jl. Tamansari,Taman Sari,Bandung Wetan,Cibeunying,15
Jl. Wastukencana,Taman Sari,Bandung Wetan,Cibeunying,19
Jl. dr hatta,Taman Sari,Bandung Wetan,Cibeunying,8
Jl. gabahlomantung,Taman Sari,Bandung Wetan,Cibeunying,7
Jl. kbn bibit tengah-cb,Taman Sari,Bandung Wetan,Cibeunying,1
Jl. kbn bibituara-cb,Taman Sari,Bandung Wetan,Cibeunying,5
Jl. pancasila,Taman Sari,Bandung Wetan,Cibeunying,1
Jl. pertiwi-cb,Taman Sari,Bandung Wetan,Cibeunying,1
Jl. Binong Jati,Binong,Batununggal,Karees,17
Jl. Gatot Subroto,Binong,Batununggal,Karees,30
Jl. H. Ibrahim Adjie,Binong,Batununggal,Karees,20
Jl. 17 Agustus,Cibangkong,Batununggal,Karees,2
Jl. Cibangkong,Cibangkong,Batununggal,Karees,17
Jl. Cukang Jati,Cibangkong,Batununggal,Karees,3
Jl. Deme,Cibangkong,Batununggal,Karees,6
Jl. Laswi,Cibangkong,Batununggal,Karees,25
Jl. Warta,Cibangkong,Batununggal,Karees,3
Gg. Maleer Timur VI,Gumuruh,Batununggal,Karees,2
Jl. Aquarius,Gumuruh,Batununggal,Karees,3
Jl. Aquarius II,Gumuruh,Batununggal,Karees,6
Jl. Aries,Gumuruh,Batununggal,Karees,4
Jl. Babakan Jati,Gumuruh,Batununggal,Karees,1
Jl. Batu Kencana,Gumuruh,Batununggal,Karees,8
Jl. Cancer,Gumuruh,Batununggal,Karees,4
Jl. Capricorn,Gumuruh,Batununggal,Karees,7
Jl. Gemini,Gumuruh,Batununggal,Karees,3
Jl. Gumuruh,Gumuruh,Batununggal,Karees,20
Jl. Jati Indah I,Gumuruh,Batununggal,Karees,6
Jl. Jati Indah II,Gumuruh,Batununggal,Karees,12
Jl. Jati Indah III,Gumuruh,Batununggal,Karees,17
Jl. Jati indah,Gumuruh,Batununggal,Karees,2
Jl. Jati indah V,Gumuruh,Batununggal,Karees,3
Jl. Jatimulya,Gumuruh,Batununggal,Karees,2
Jl. Libra,Gumuruh,Batununggal,Karees,4
Jl. Libra II,Gumuruh,Batununggal,Karees,7
Jl. Libra III,Gumuruh,Batununggal,Karees,10
Jl. Libra IV,Gumuruh,Batununggal,Karees,7
Jl. Libra V,Gumuruh,Batununggal,Karees,8
Jl. Pisces,Gumuruh,Batununggal,Karees,2
Jl. RH Hasan Saputra Raya,Gumuruh,Batununggal,Karees,8
Jl. Rajamantri Kidul,Gumuruh,Batununggal,Karees,1
Jl. Rancamanyar,Gumuruh,Batununggal,Karees,17
Jl. Sagitarius,Gumuruh,Batununggal,Karees,2
Jl. Salendro timur I,Gumuruh,Batununggal,Karees,2
Jl. Salendro timur II,Gumuruh,Batununggal,Karees,4
Jl. Salendro timur IV,Gumuruh,Batununggal,Karees,3
Jl. Salendro timur IX,Gumuruh,Batununggal,Karees,3
Jl. Salendro timur V,Gumuruh,Batununggal,Karees,1
Jl. Salendro timur VI,Gumuruh,Batununggal,Karees,2
Jl. Salendro timur VII,Gumuruh,Batununggal,Karees,4
Jl. Salendro timur VIII,Gumuruh,Batununggal,Karees,5
Jl. Salendro timur X,Gumuruh,Batununggal,Karees,5
Jl. Salendro timur raya,Gumuruh,Batununggal,Karees,2
Jl. Saturnus,Gumuruh,Batununggal,Karees,4
Jl. Scorpio,Gumuruh,Batununggal,Karees,3
Jl. Taurus,Gumuruh,Batununggal,Karees,7
Jl. Trs. RAA Martanegara,Gumuruh,Batununggal,Karees,7
Jl. Turangga,Gumuruh,Batununggal,Karees,16
Jl. Venus,Gumuruh,Batununggal,Karees,4
Jl. Virgo,Gumuruh,Batununggal,Karees,3
Depan Stadion Persib,Kacapiring,Batununggal,Karees,4
Jl. Bogor,Kacapiring,Batununggal,Karees,8
Jl. Cianjur,Kacapiring,Batununggal,Karees,31
Jl. Cirebon,Kacapiring,Batununggal,Karees,1
Jl. Garut,Kacapiring,Batununggal,Karees,4
Jl. Jakarta,Kacapiring,Batununggal,Karees,29
Jl. Kacapiring,Kacapiring,Batununggal,Karees,5
Jl. Sukabumi,Kacapiring,Batununggal,Karees,14
Jl. Sukabumi Dalam,Kacapiring,Batununggal,Karees,23
Jl. Sumedang,Kacapiring,Batununggal,Karees,3
Jl. Tasikmalaya,Kacapiring,Batununggal,Karees,3
Jl. Flyover Kircon,Kebon Gedang,Batununggal,Karees,21
Jl. PT. KAI,Kebon Waru,Batununggal,Karees,4
Jl. Serang,Kebon Waru,Batununggal,Karees,1
Jl. Kebon Gedang,Maleer,Batununggal,Karees,2
Jl. Maleer I,Maleer,Batununggal,Karees,17
Jl. Maleer indah I,Maleer,Batununggal,Karees,18
Jl. Centeh,Samoja,Batununggal,Karees,5
Jl. Kembang Sepatu,Samoja,Batununggal,Karees,1
Jl. Malabar,Samoja,Batununggal,Karees,6
Jl. Pacar,Samoja,Batununggal,Karees,2
Jl. Samoja,Samoja,Batununggal,Karees,6
Jl. Teratai,Samoja,Batununggal,Karees,6
Jl. Terate,Samoja,Batununggal,Karees,1
Jl. Babakan Tarogong,Babakan Asih,Bojongloa Kaler,Tegallega,30
Jl. jln asrama bbktrg,Babakan Asih,Bojongloa Kaler,Tegallega,2
Jl. jamika lama,Jamika,Bojongloa Kaler,Tegallega,17
Jl. citarip barat,Kopo,Bojongloa Kaler,Tegallega,2
Jl. tamanlingkarselatan,Kopo,Bojongloa Kaler,Tegallega,25
Jl. sukarma,Situsaeur,Bojongloa Kaler,Tegallega,1
Jl. Curug Kencana,Suka Asih,Bojongloa Kaler,Tegallega,3
Jl. Lingkar Kencana,Suka Asih,Bojongloa Kaler,Tegallega,7
Jl. Lingkar Kencana-1,Suka Asih,Bojongloa Kaler,Tegallega,8
Jl. Papan Kencana,Suka Asih,Bojongloa Kaler,Tegallega,1
Jl. Papan Kencana I,Suka Asih,Bojongloa Kaler,Tegallega,2
Jl. Papan Kencana II,Suka Asih,Bojongloa Kaler,Tegallega,4
Jl. Pasir Kencana,Suka Asih,Bojongloa Kaler,Tegallega,1
Jl. Payung Kencana,Suka Asih,Bojongloa Kaler,Tegallega,2
Jl. Pijar Kencana,Suka Asih,Bojongloa Kaler,Tegallega,1
Jl. Raya Kencana,Suka Asih,Bojongloa Kaler,Tegallega,1
Jl. Sendi Kencana,Suka Asih,Bojongloa Kaler,Tegallega,2
Jl. Situ Gunting,Suka Asih,Bojongloa Kaler,Tegallega,2
Jl. Situ Gunting Timur,Suka Asih,Bojongloa Kaler,Tegallega,3
Jl. Tirta Kencana Barat,Suka Asih,Bojongloa Kaler,Tegallega,4
Jl. Titian Kencana,Suka Asih,Bojongloa Kaler,Tegallega,2
Jl. Undak Kencana,Suka Asih,Bojongloa Kaler,Tegallega,6
Jl. kom rukokopo,Suka Asih,Bojongloa Kaler,Tegallega,6
Jl. komplektamananggrek,Suka Asih,Bojongloa Kaler,Tegallega,23
Jl. papankencana,Suka Asih,Bojongloa Kaler,Tegallega,1
Jl. pasebankendanabarat,Suka Asih,Bojongloa Kaler,Tegallega,3
Jl. ririankencana,Suka Asih,Bojongloa Kaler,Tegallega,4
Jl. sukamulya_tegalega,Suka Asih,Bojongloa Kaler,Tegallega,2
Jl. Candra kirana,Cibaduyut,Bojongloa Kidul,Tegallega,2
Jl. Cibaduyut,Cibaduyut,Bojongloa Kidul,Tegallega,52
Jl. Indra Raya,Cibaduyut,Bojongloa Kidul,Tegallega,9
Jl. Kt kcn tengah,Cibaduyut,Bojongloa Kidul,Tegallega,3
Jl. Kt kencana tmr,Cibaduyut,Bojongloa Kidul,Tegallega,5
Jl. Mekar Jelita Komp.Mekarwangi,Cibaduyut,Bojongloa Kidul,Tegallega,19
Jl. Mekar Puspita Komp.Mekarwangi,Cibaduyut,Bojongloa Kidul,Tegallega,6
Jl. candrakirana,Cibaduyut,Bojongloa Kidul,Tegallega,3
Jl. cibaduyut dalam,Cibaduyut,Bojongloa Kidul,Tegallega,54
Jl. indrayasa,Cibaduyut,Bojongloa Kidul,Tegallega,2
Jl. ma eja cbdyt,Cibaduyut,Bojongloa Kidul,Tegallega,1
Jl. ta5umanega4atimur,Cibaduyut,Bojongloa Kidul,Tegallega,5
Komp. Mekarwangi,Cibaduyut,Bojongloa Kidul,Tegallega,11
Komplek Perumahan Singgasana,Cibaduyut,Bojongloa Kidul,Tegallega,176
Jl. Penataran,Cibaduyut Kidul,Bojongloa Kidul,Tegallega,3
Jl. Trus borobudur,Cibaduyut Kidul,Bojongloa Kidul,Tegallega,13
Jl. batutulis cbdyt,Cibaduyut Kidul,Bojongloa Kidul,Tegallega,1
Jl. borobudur cbdyt,Cibaduyut Kidul,Bojongloa Kidul,Tegallega,6
Jl. cibaduyut permai,Cibaduyut Kidul,Bojongloa Kidul,Tegallega,62
Jl. kalasan cbdyt,Cibaduyut Kidul,Bojongloa Kidul,Tegallega,1
Jl. kidal cbdyt,Cibaduyut Kidul,Bojongloa Kidul,Tegallega,1
Jl. mendut cbdyt,Cibaduyut Kidul,Bojongloa Kidul,Tegallega,1
Jl. panataran cbdyt,Cibaduyut Kidul,Bojongloa Kidul,Tegallega,3
Jl. plaosan cbdyt,Cibaduyut Kidul,Bojongloa Kidul,Tegallega,2
Jl. prambanan cbdyt,Cibaduyut Kidul,Bojongloa Kidul,Tegallega,1
Jl. salakkadomas cbdyt,Cibaduyut Kidul,Bojongloa Kidul,Tegallega,1
Jl. sewu cbdyt,Cibaduyut Kidul,Bojongloa Kidul,Tegallega,2
Jl. Antamaya,Cibaduyut Wetan,Bojongloa Kidul,Tegallega,5
Jl. Aria mgkngra,Cibaduyut Wetan,Bojongloa Kidul,Tegallega,2
Jl. Cakrabuana,Cibaduyut Wetan,Bojongloa Kidul,Tegallega,2
Jl. Cakralarang,Cibaduyut Wetan,Bojongloa Kidul,Tegallega,3
Jl. Cakranagara,Cibaduyut Wetan,Bojongloa Kidul,Tegallega,2
Jl. Darma loka,Cibaduyut Wetan,Bojongloa Kidul,Tegallega,5
Jl. Galuh pakbar,Cibaduyut Wetan,Bojongloa Kidul,Tegallega,3
Jl. Galuh pakteng,Cibaduyut Wetan,Bojongloa Kidul,Tegallega,5
Jl. Indra warman,Cibaduyut Wetan,Bojongloa Kidul,Tegallega,3
Jl. Kuta kencana brt,Cibaduyut Wetan,Bojongloa Kidul,Tegallega,2
Jl. Kutamaya,Cibaduyut Wetan,Bojongloa Kidul,Tegallega,4
Jl. Slnggasana ry,Cibaduyut Wetan,Bojongloa Kidul,Tegallega,14
Jl. Suryanagara,Cibaduyut Wetan,Bojongloa Kidul,Tegallega,2
Jl. Wisnu warman,Cibaduyut Wetan,Bojongloa Kidul,Tegallega,3
Jl. Yudanagara,Cibaduyut Wetan,Bojongloa Kidul,Tegallega,2
Jl. tvri bandung-tg,Cibaduyut Wetan,Bojongloa Kidul,Tegallega,8
Jl. Leuwi Panjang,Kebon Lega,Bojongloa Kidul,Tegallega,45
Jl. Mekar Harum,Kebon Lega,Bojongloa Kidul,Tegallega,14
Jl. Mekar Santika,Kebon Lega,Bojongloa Kidul,Tegallega,14
Jl. Mekarwangi (LP. Banceuy),Kebon Lega,Bojongloa Kidul,Tegallega,10
Jl. Muara Barat I,Kebon Lega,Bojongloa Kidul,Tegallega,3
Jl. Muara Barat II,Kebon Lega,Bojongloa Kidul,Tegallega,9
Jl. Muara Baru I,Kebon Lega,Bojongloa Kidul,Tegallega,10
Jl. Muara Baru II,Kebon Lega,Bojongloa Kidul,Tegallega,14
Jl. istanamekarwangi,Kebon Lega,Bojongloa Kidul,Tegallega,14
Jl. komp bpr lwpjg,Kebon Lega,Bojongloa Kidul,Tegallega,3
